Link,cout,propriete
Amberieu#1,209.0,costByTruck
Amberieu#3,346.40000000000015,costByTruck
Amberieu#6,740.0,costByTruck
Amberieu#10,473.0,costByTruck
Amberieu#13,560.21,costByTruck
Amberieu#14,843.0,costByTruck
Amberieu#16,687.7999999999997,costByTruck
Amberieu#17,750.9,costByTruck
Amberieu#18,466.5,costByTruck
Amberieu#19,689.0,costByTruck
Amberieu#21,291.0,costByTruck
Amberieu#22,904.9999999999997,costByTruck
Amberieu#24,686.52,costByTruck
Amberieu#25,299.48,costByTruck
Amberieu#26,350.99999999999994,costByTruck
Amberieu#27,743.0,costByTruck
Amberieu#28,565.0,costByTruck
Amberieu#30,542.5,costByTruck
Amberieu#31,785.7999999999997,costByTruck
Amberieu#33,798.7,costByTruck
Amberieu#34,593.05,costByTruck
Amberieu#35,840.0,costByTruck
Amberieu#36,518.0,costByTruck
Amberieu#37,623.9,costByTruck
Amberieu#38,207.35000000000008,costByTruck
Amberieu#39,278.0,costByTruck
Amberieu#40,884.6,costByTruck
Amberieu#42,235.9,costByTruck
Amberieu#44,823.0500000000003,costByTruck
Amberieu#45,460.0,costByTruck
Amberieu#49,737.4183402671338,costByTruck
Amberieu#51,519.1,costByTruck
Amberieu#54,446.00000000000006,costByTruck
Amberieu#55,461.4,costByTruck
Amberieu#57,493.75,costByTruck
Amberieu#59,642.0,costByTruck
Amberieu#60,687.5,costByTruck
Amberieu#62,628.0,costByTruck
Amberieu#63,326.83799999999997,costByTruck
Amberieu#66,704.0,costByTruck
Amberieu#67,483.9,costByTruck
Amberieu#68,426.7395,costByTruck
Amberieu#69,203.39999999999995,costByTruck
Amberieu#71,299.00000000000006,costByTruck
Amberieu#72,724.5,costByTruck
Amberieu#74,294.2,costByTruck
Amberieu#76,780.0,costByTruck
Amberieu#77,567.5,costByTruck
Amberieu#78,596.0,costByTruck
Amberieu#79,697.0,costByTruck
Amberieu#80,687.5,costByTruck
Amberieu#82,814.1999999999997,costByTruck
Amberieu#83,749.25,costByTruck
Amberieu#84,515.4,costByTruck
Amberieu#85,812.0,costByTruck
Amberieu#86,624.1999999999998,costByTruck
Amberieu#87,639.0,costByTruck
Amberieu#89,467.5,costByTruck
Amberieu#91,570.0,costByTruck
Amberieu#93,545.0,costByTruck
Amberieu#94,545.0,costByTruck
Amberieu#95,573.0,costByTruck
Amberieu#Anvers,589.62,costByTruck
Amberieu#Badoit,247.0,costByTruck
Amberieu#Bretigny,557.3,costByTruck
Amberieu#Corbas,196.0,costByTruck
Amberieu#Evian,285.0,costByTruck
Amberieu#Fos,492.0,costByTruck
Amberieu#Macon,235.0,costByTruck
Amberieu#Monteux,500.0,costByTruck
Amberieu#Ostende,650.0,costByTruck
Amberieu#Rugby,1593.8,costByTruck
Amberieu#Santes,685.76,costByTruck
Amberieu#StQuentinChesnes,,costByTruck
Amberieu#Thionville,507.0,costByTruck
Amberieu#Vinay,350.0,costByTruck
Amberieu#Zeebrugge,560.0,costByTruck
Badoit#1,260.0,costByTruck
Badoit#3,335.0,costByTruck
Badoit#6,760.0,costByTruck
Badoit#10,500.0,costByTruck
Badoit#13,537.32,costByTruck
Badoit#14,834.0,costByTruck
Badoit#16,590.2799999999999,costByTruck
Badoit#17,682.0,costByTruck
Badoit#18,405.4,costByTruck
Badoit#19,480.4,costByTruck
Badoit#21,373.0,costByTruck
Badoit#22,882.7,costByTruck
Badoit#25,392.0,costByTruck
Badoit#26,338.9,costByTruck
Badoit#27,714.5,costByTruck
Badoit#28,714.5,costByTruck
