Link,grandeur,timestamp,type,unite,value
Hub#HubStock,siteStockageCapa,2018-01-15 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-01-22 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-01-29 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-02-05 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-02-12 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-02-19 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-02-26 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-03-05 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-03-12 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-03-19 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-03-26 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-04-02 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-04-09 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-04-16 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-04-23 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-04-30 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-05-07 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-05-14 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-05-21 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-05-28 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-06-04 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-06-11 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-06-18 12:00:00,stock,palettes,0
Hub#HubStock,siteStockageCapa,2018-06-25 12:00:00,stock,palettes,0
Bretigny#1,ligneRouteCapa,2018-01-15 12:00:00,road,camions,1.9181912128562209
Bretigny#1,ligneRouteCapa,2018-01-22 12:00:00,road,camions,1.9181912128562209
Bretigny#1,ligneRouteCapa,2018-01-29 12:00:00,road,camions,1.9181912128562209
Bretigny#1,ligneRouteCapa,2018-02-05 12:00:00,road,camions,1.926088482135824
Bretigny#1,ligneRouteCapa,2018-02-12 12:00:00,road,camions,1.926088482135824
Bretigny#1,ligneRouteCapa,2018-02-19 12:00:00,road,camions,1.926088482135824
Bretigny#1,ligneRouteCapa,2018-02-26 12:00:00,road,camions,1.926088482135824
Bretigny#1,ligneRouteCapa,2018-03-05 12:00:00,road,camions,1.9161902612308244
Bretigny#1,ligneRouteCapa,2018-03-12 12:00:00,road,camions,1.9161902612308244
Bretigny#1,ligneRouteCapa,2018-03-19 12:00:00,road,camions,1.9161902612308244
Bretigny#1,ligneRouteCapa,2018-03-26 12:00:00,road,camions,1.9161902612308244
Bretigny#1,ligneRouteCapa,2018-04-02 12:00:00,road,camions,1.5329522089846594
Bretigny#1,ligneRouteCapa,2018-04-09 12:00:00,road,camions,1.7893016920888134
Bretigny#1,ligneRouteCapa,2018-04-16 12:00:00,road,camions,1.7893016920888134
Bretigny#1,ligneRouteCapa,2018-04-23 12:00:00,road,camions,1.7893016920888134
Bretigny#1,ligneRouteCapa,2018-04-30 12:00:00,road,camions,1.4314413536710509
Bretigny#1,ligneRouteCapa,2018-05-07 12:00:00,road,camions,0.8399999999999999
